Street,Neighbourhood,Asking Price,No. of BR,No. of BathR,Sq ft,Type of BLD,,,,
18 Gramercy Park South 1M,Gramercy,7995000,2.3,3.5,3750,Apartment,,,,
25 Beekman Pl,Midtown East,6000000,3,4.5,3742,Apartment,,,,
66 E 11th St PH,East Village,28000000,4,7,7693,Apartment,,,,
157 West 57th Street,Midtown West,25500000,5,6,4603,Apartment,,,,
442 E 13th St,East Village,2500000,2,2.5,1706,Apartment,,,,
630 1st Avenue,Murray Hill,1595000,2,2,1012,Apartment,,,,
5 E 22nd St 18G,Flatiron,1275000,1,1,611,Apartment,,,,
200 E 24th St,Gramercy,679000,1,1,850,Apartment,,,,
61 Jane St 19KL,West Village,3495000,3,3,,Apartment,,,,
57 W 88th St,Upper West Side,9950000,5,10,8240,Apartment,,,,
416 Washington St Apt: 4E,Soho Tribeca,4595000,3,3,2517,Apartment,,,,
55 W 17th St 701,Flatiron,2699990,2,2.5,1652,Apartment,,,,
270 W 17th Street PHC,Chelsea,2625000,1,2,,Apartment,,,,
12th Street Broadway & University Place,East Village,875000,1,1,675,Apartment,,,,
101 Leonard St 8F,Tribeca,2199000,2,2,1275,Apartment,,,,
160 E 27th St 3F,Kips Bay,715000,1,1,,Apartment,,,,
40 E 80th St 4B Madison Ave,Upper East Side,995000,1,1.5,,Apartment,,,,
478 Central Park West,Upper West Side,2479000,3,2,1560,Apartment,,,,
160 E 27th St A11Third and Lexington ave,Kips Bay,730000,1,1,,Apartment,,,,
101 Wall St Water Street,Financial Distict,5650000,3,3.5,2706,Apartment,,,,
340 E 80th St 20D Second Avenue,Upper East Side,795000,1,1,,Apartment,,,,
242 E 25th St 10  Second Avenue,Kips Bay,579000,1,1,525,Apartment,,,,
436 E 13th St PHB,East Village,3450000,3,2.5,1706,Apartment,,,,
10 West End Ave,Upper West Side,1199000,1,1,764,Apartment,,,,
Third Ave and 37th St,Murray Hill,700000,1,1,800,Apartment,,,,
South End Ave ,Battery Park,985000,1,1,815,Apartment,,,,
184 Thompson St 3M Bleecker,Greenwich Village,1150000,1,1,637,Apartment,,,,
55 West 17th Street 1401 6th Avenue,Flatiron,8750000,4,4.5,4098,Apartment,,,,
247 West 46th St Eighth Avenue & Broadway,Midtown West,2550000,2,2.5,1308,Apartment,,,,
225 W 17th St Penthouse 3,Chelsea,6495000,3,3.5,2560,Apartment,,,,
101 Wall By the Water 9B Water Street,Financial Distict,2495000,2,2.5,1512,Apartment,,,,
124 W 23rd St Avenue of the Americas,Chelsea,3195000,3,3,1530,Apartment,,,,
160 E 27th St 5A Lexington and third avenue,Kips Bay,730000,1,1,,Apartment,,,,
77 Bleecker St 619,Greenwich Village,825000,1,1,900,Apartment,,,,
372 5th Ave 7J East 35th Street,Midtown East,549000,1,1,,Apartment,,,,
101 Wall By the Water DuplexB Water Street,Financial Distict,2500000,4,4,2100,Apartment,,,,
845 2nd Ave 3a East 45th Street,Midtown East,750000,1,1,658,Apartment,,,,
101 Wall By the Water PHB Water Street,Financial Distict,5494000,4,4.5,3146,Apartment,,,,
101 Wall By the Water 10B Water Street,Financial Distict,2000000,2,2.5,1417,Apartment,,,,
101 Wall By the Water 7A Water Street,Financial Distict,995000,1,1,706,Apartment,,,,
101 Wall By the Water 23FL Water Street,Financial Distict,2995000,3,3,1795,Apartment,,,,
50 Riverside Boulevard West 61st & West 62nd Street,Upper West Side,3788888,3,3,1844,Apartment,,,,
73 Worth St #5E Broadway,Soho Tribeca,3100000,2,2,1911,Apartment,,,,
101 Wall By the Water 11C Water Street,Financial Distict,1750000,2,2,1263,Apartment,,,,
120 Riverside Blvd West 66th Street,Upper West Side,725000,1,1,551,Apartment,,,,
310 W 120th St Frederick Douglass BLVD ,Morningside Heights,1650000,3,2,1365,Apartment,,,,
22 Renwick St Spring Street,Tribeca,2595000,2,2.5,1400,Apartment,,,,
240 E 47th St Third Avenue,Midtown East,2150000,2,2.5,1388,Apartment,,,,
225 Rector Pl South End Ave,Battery Park,899000,1,1,688,Apartment,,,,
200 E 24th St 3rd Avenue,Gramercy,550000,1,1,,Apartment,,,,
220 E 60th St 6-B,Upper East Side,879000,1,1,750,Apartment,,,,
310 E 53rd St 2 B,Midtown East,2250000,1,2,2064,Apartment,,,,
1474 3rd Ave East 84th Street,Upper East Side,2250000,3,2.5,1609,Apartment,,,,
100 11th Ave 8B West 19th Street,Chelsea,2250000,1,1.5,1110,Apartment,,,,
390 West End Ave West 78th Street,Upper West Side,3999500,2,2,1767,Apartment,,,,
395 Broadway 6E Walker Street,Soho Tribeca,1995000,1,1.5,1218,Apartment,,,,
40 Broad Street Exchange Place,Financial Distict,1325000,1,1.5,1071,Apartment,,,,
860 United Nations Plaza 31C/32C 49th Street,Midtown East,3600000,5,5.5,,Apartment,,,,
One 57 39B 157 West 57th Street,Midtown West,9950000,2,2.5,2145,Apartment,,,,
2 East End Ave 7-A East 79th Street,Upper East Side,2750000,2,2.5,2100,Apartment,,,,
242 W 104th St 4WR Broadway,Upper West Side,799000,2,1,,Apartment,,,,
301 W 57th St Eighth Ave,Midtown West,2675000,2,2,1236,Apartment,,,,
497 Greenwich St 2B,Soho Tribeca,2195000,2,1.5,1662,Apartment,,,,
211 E 53rd St 3rd Avenue,Midtown East,985000,1,1,950,Apartment,,,,
246 West End Avenue 71st St.,Upper West Side,875000,1,1,,Apartment,,,,
230 E 71st St 6-J,Upper East Side,599999,1,1,,Apartment,,,,
250 Mercer St D303 3rd and 4th Streets,East Village,1195000,1.5,1,,Apartment,,,,
2 River Terrace Vesey Street,Battery Park,3495000,3,4,2095,Apartment,,,,
207 Cabrini Blvd West 181st St & West 186th St,Hudson Heights,3850000,5,4.5,3448,Apartment,,,,
251 E 61st St Third Avenue,Upper East Side,12950000,5,6.5,6047,Apartment,,,,
50 Franklin St 6E Broadway,Tribeca,1325000,1,1,779,Apartment,,,,
269 W 132nd St,Harlem,2000000,6,6,2250,Apartment,,,,
261 Broadway 2C Warren Street,Soho Tribeca,999000,1,1,885,Apartment,,,,
425 Park Ave S East 29th Street,Flatiron,2225000,2,2,1570,Apartment,,,,
224 E 14th St Third Avenue,East Village,3900000,2,2.5,1971,Apartment,,,,
432 W 52nd St Garden F 10th avenue,Midtown East,1145000,1,1.5,1356,Apartment,,,,
3 Lincoln Center 18C 160 W 66th St,Upper West Side,940000,1,1,584,Apartment,,,,
34 Gramercy Park E 3BN,Gramercy,1845000,2,1.5,,Apartment,,,,
123 Washington St Rector Street and Carlisle Street,Financial Distict,1230000,1,1,606,Apartment,,,,
101 Wall By the Water 6C,Financial Distict,1865000,1.5,2,1168,Apartment,,,,
357 E 57th St 15D 1st Avenue,Midtown East,1299999,2,2,1300,Apartment,,,,
100 Riverside Blvd West 65th,Upper West Side,1800000,2,2,1242,Apartment,,,,
175 W 10th St 2 7th Avenue,West Village,5395000,3,3.5,2702,Apartment,,,,
220 Manhattan Ave West 109th Street,Upper West Side,699001,1,1,,Apartment,,,,
236 E 47th St 23-C,Midtown East,895000,1,1,,Apartment,,,,
425 East 58th Street Sutton place,Midtown East,4250000,4,4,2800,Apartment,,,,
655 Park Ave 8/9B East 67th Street,Upper East Side,18000000,5,7,5800,Apartment,,,,
80 Riverside Blvd West 64th Street,Upper West Side,1395000,1,1,798,Apartment,,,,
175 W 10th St 4 Waverly Place,West Village,5995000,3,3.5,2702,Apartment,,,,
211 E 51st St 5D Third Avenue,Midtown East,829000,1,1,,Apartment,,,,
15 Renwick St 401 Canal Street,Tribeca,2995000,2,2.5,1481,Apartment,,,,
Midtown West 701 Ninth Avenue,Midtown West,1550000,2,2,958,Apartment,,,,
205 W 76th St 4G,Upper West Side,2350000,2,2,1047,Apartment,,,,
60 Riverside Blvd,Upper West Side,4888000,4,4.5,2505,Apartment,,,,
14 E 90th St 8D Madison Ave,Upper East Side,4000000,3,3,,Apartment,,,,
159 W 53rd Street 7th Ave,Midtown West,999999,1,1,800,Apartment,,,,
2136 2nd Ave 6B,Harlem,795000,2,2,1010,Apartment,,,,
159 W 53rd St 7th avenue,Midtown West,1440000,1.5,1.5,900,Apartment,,,,
55 Liberty St Broadway,Financial Distict,520000,1,1,725,Apartment,,,,
59 John Street William Street,Financial Distict,1999000,3,2.5,1757,Apartment,,,,
120 Riverside Blvd West 66th & 65th,Upper West Side,4500000,3,4,2460,Apartment,,,,
336 E 54th St 1st and 2nd Avenue,Midtown East,2250000,2,1.5,,Apartment,,,,
333 East 55t 2nd and third avenue,Midtown East,725000,1,1,800,Apartment,,,,
117 West 21st Street,Flatiron,2950000,4,3.5,4451,Apartment,,,,
